place_slug,year,visitor_type,visitor_count,source
laguna-de-los-milagros,2024,turistas_extranjeros,1426,MINCETUR - Municipalidad Distrital de Pueblo Nuevo
laguna-de-los-milagros,2024,turistas_nacionales,13050,MINCETUR - Municipalidad Distrital de Pueblo Nuevo
laguna-de-los-milagros,2024,visitantes_locales,42989,MINCETUR - Municipalidad Distrital de Pueblo Nuevo
